,Title_Join
0, asn jabar mulai orang suntik 
1,kasus aktif turun wamenkes sebut bukti kurang risiko sakit parah
2,menkes degdegan stok sinovac juta dosis april
3,heboh china aku manjur vaksin rendah fakta
4,gtpp denpasar papar rawat rs
5,garagara baca berita hoaks warga takut lalu sembunyi hutan
6,beku darah regulator as setop pakai jj
7, picu efek samping mirip kanker payudara bahaya
8,ri resmi pakai sinopharm lawan efikasinya
9,momen dokter presiden gemetar suntik jokowi
10,menkes sebut sedia ancam akibat embargo
11,kemenkes persen publik sedia terima 
12,suntik abu dhabi wni ungkap efek samping 
13,parlemen ingat perintah soal keluar eua astrazeneca sesuai prosedur
14,banyak keluh ngantuk usai jelas tim riset
15,tak pandemi kominfo ingat ancam infodemic 
16,satgas astrazeneca indikasi sebab beku darah
17,moderna kaji mungkin muncul alergi usai suntik buat
18,duh orang alami beku darah usai astrazeneca
19,efek samping astrazeneca ri bukan beku darah
20,syarat baru jalan ri masa laku pcrantigengenose
21,duh kasus india terus roket pasok ancam
22,ketua idi kurang angka gugur dokter nakes
23,menkes jaga orang cinta tular 
24,jabar siap dosis kontingen pon xx
25,kemenkes intensif tengah temu varian baru 
26,beku darah ramai sikap who astrazeneca
27,sunti mulai deret efek samping 
28,layan turun
29,boyolali tambah kasus terkonfimasi positif 
30,ue minta beku darah masuk efek samping 
31,pasien tinggal sumut tambah empat orang
32,usai wamenkes rasa apaapa
33, pesan jangan balas rampok
34,stok tip menkes bakal lambat laju 
35,rumah sakit lin stop wanita dewasa
36,ajar harga petik ri tsunami india
37,terima tetap tular alas
38,viral dokter wafat usai kemenkes tak lapor kipi
39,satgas kasus positif kaltim tambah orang
