,Title_Join
0,menkes suntik dosis dua rasa jadi ken makan banyak
1,komentar pakar ugm soal mui tetap sinovac halal
2,dinkes gunung kidul guna astrazeneca 
3,wamenag mui pusat sebut astrazeneca halal guna
4,data uji klinis iii as efikasi astrazeneca persen
5,blakblakan ketua fraksi pan mau suntik awan
6,astrazeneca tak bukti tingkat risiko beku darah
7,tak langsung kebal butuh waktu bangun antibodi suntik 
8,menkes bicara awan awas tak bpom
9,bpom astrazeneca bets ctmav guna 
10,beku darah sunti johnson johnson setop
11,jubir tegas gotong royong gratis
12,kemenkes efek samping suntik nyeri gatalgatal
13,klinis fase turki efikasi sinovac persen
14,komentar jokowi usai terima asa sama sekali
15,hasil akhir uji sinovac persen efektif persen cegah kasus berat
16,sunti pertama pfizer israel persen efektif studi jelas
17,kabar buruk pfizer tak kuat lawan virus afsel
18,presiden brasil sebut senjata biologis sindir siapa
19,ibu hamil positif tak selalu lahir bayi antibodi 
20,kemarin literasi digital guna astrazeneca lanjut
21,satgas tingkat sembuh pasien mataram naik signifikan
22,dinkes madiun jamin aman astrazeneca
23,bpom sebut efikasi sinovac persen arti
24,teliti pfizer kurang efektif derita obesitas
25,kpcpen juta sinovac datang selasa
26,beri astrazeneca lanjut
27,bpom ri astrazeneca masuk indonesia sesuai standar mutu global
28,wamenkes puji terima usia bogor
29,bambang brodjonegoro pamer hingga drone hannover messe
30,tim riset pasca bulan suntik antibodi sinovac atas persen
31,wapres jadi pelopor kelompok umum lansia mulai
32,ahli geriatri ui jelas mati lansia norwegia usai pfizer
33,positif usai kondisi sehat sekda bandung baik
34,menkes antibodi bentuk minggu 
35,jangan salah alas muncul efek samping 
36,satgas pusat monitor laksana ppkm mikro kota madiun
37,persen cjh aceh meski berangkat
38, pasien kanker dapat ahli jelas
39,investigasi astrazeneca jalan ema manfaat lebih besar
40, tahap prioritas lansia sultan ikut
41,faktafakta awat rsud blitar tinggal sempat suntik riwayat luar kota
42,norwegia mati lansia tak kait langsung pfizer
43,menkes tak desak bpom segera keluar eua sinovac
44,mui astrazeneca haram guna kondisi desak
45,jumlah terima capai orang
46,top satgas sebut sinovac ri sertifikasi who
47,satgas sindikat palsu indonesia
48, dosis tunggal johnson johnson persen efektif lawan 
49,duh pfizer kurang efektif lawan mutasi afsel
50,update juta kasus indonesia komorbid hingga sintas 
51,makin banyak varian baru who laku cepat
52,laku seni harap karya aman
53,jangan minum obat reda nyeri begini jelas ahli
54,kabar gembira moderna ampuh lawan remaja
55,komisi viii dpr bengkulu jadi contoh kesiap sekolah tatap muka
56,ri mulai suntik astrazeneca ketua mui jatim jadi salah satu terima pertama
57,momen wamenkes suntik sama nakes
58,china pasti vaksin efektif lawan varian baru
59,astrazeneca sebut lebih besar manfaat efek samping
60, suntik oravax kembang bentuk pil
61, kedaluwarsa kemenkes minta sedia tahap habis
62,bpom ri jamin efektif varian baru virus 
63,pimpin dpr antisipasi embargo produksi negeri kebut
