,Title,Sumber,Label,Hasil_Case_Folding,Hasil_Token,Hasil_Stopword,Hasil_Stemming
0,IDI Lhokseumawe siap dukung vaksin Pfizer untuk pelajar,antaranews,1,idi lhokseumawe siap dukung vaksin pfizer untuk pelajar,"['idi', 'lhokseumawe', 'siap', 'dukung', 'vaksin', 'pfizer', 'untuk', 'pelajar']","['idi', 'lhokseumawe', 'siap', 'dukung', 'pfizer', 'pelajar']","['idi', 'lhokseumawe', 'siap', 'dukung', 'pfizer', 'ajar']"
1,Menkes ingatkan kepala daerah prioritaskan vaksinasi untuk lansia,antaranews,1,menkes ingatkan kepala daerah prioritaskan vaksinasi untuk lansia,"['menkes', 'ingatkan', 'kepala', 'daerah', 'prioritaskan', 'vaksinasi', 'untuk', 'lansia']","['menkes', 'ingatkan', 'kepala', 'daerah', 'prioritaskan', 'lansia']","['menkes', 'ingat', 'kepala', 'daerah', 'prioritas', 'lansia']"
2,Kemenkes intensifkan vaksinasi di tengah temuan varian baru COVID-19,antaranews,1,kemenkes intensifkan vaksinasi di tengah temuan varian baru covid,"['kemenkes', 'intensifkan', 'vaksinasi', 'di', 'tengah', 'temuan', 'varian', 'baru', 'covid']","['kemenkes', 'intensifkan', 'tengah', 'temuan', 'varian', 'baru', '']","['kemenkes', 'intensif', 'tengah', 'temu', 'varian', 'baru', '']"
3,"Lagi, delapan juta dosis vaksin COVID-19 Sinovac tiba di Indonesia",antaranews,0,lagi delapan juta dosis vaksin covid sinovac tiba di indonesia,"['lagi', 'delapan', 'juta', 'dosis', 'vaksin', 'covid', 'sinovac', 'tiba', 'di', 'indonesia']","['', 'delapan', 'juta', 'dosis', 'sinovac', 'tiba', 'indonesia']","['', 'delapan', 'juta', 'dosis', 'sinovac', 'tiba', 'indonesia']"
4,Indonesia kedatangan 8 juta bahan baku vaksin COVID-19,antaranews,0,indonesia kedatangan juta bahan baku vaksin covid,"['indonesia', 'kedatangan', 'juta', 'bahan', 'baku', 'vaksin', 'covid']","['indonesia', 'kedatangan', 'juta', 'bahan', 'baku', '']","['indonesia', 'datang', 'juta', 'bahan', 'baku', '']"
5,Kimia Farma dukung Media Group gelar vaksinasi gotong royong,antaranews,1,kimia farma dukung media group gelar vaksinasi gotong royong,"['kimia', 'farma', 'dukung', 'media', 'group', 'gelar', 'vaksinasi', 'gotong', 'royong']","['kimia', 'farma', 'dukung', 'media', 'group', 'gelar', 'gotong', 'royong']","['kimia', 'farma', 'dukung', 'media', 'group', 'gelar', 'gotong', 'royong']"
6,Ikhtiar melindungi warga lanjut usia dari risiko penyakit,antaranews,0,ikhtiar melindungi warga lanjut usia dari risiko penyakit,"['ikhtiar', 'melindungi', 'warga', 'lanjut', 'usia', 'dari', 'risiko', 'penyakit']","['ikhtiar', 'melindungi', 'warga', 'lanjut', 'usia', 'risiko', 'penyakit']","['ikhtiar', 'lindung', 'warga', 'lanjut', 'usia', 'risiko', 'sakit']"
7,Satgas: Kasus positif COVID-19 di Kaltim bertambah 140 orang,antaranews,-1,satgas kasus positif covid di kaltim bertambah orang,"['satgas', 'kasus', 'positif', 'covid', 'di', 'kaltim', 'bertambah', 'orang']","['satgas', 'kasus', 'positif', 'kaltim', 'bertambah', 'orang']","['satgas', 'kasus', 'positif', 'kaltim', 'tambah', 'orang']"
8,Pakar genetika IPB soroti fenomena penularan COVID-19 ke hewan,antaranews,0,pakar genetika ipb soroti fenomena penularan covid ke hewan,"['pakar', 'genetika', 'ipb', 'soroti', 'fenomena', 'penularan', 'covid', 'ke', 'hewan']","['pakar', 'genetika', 'ipb', 'soroti', 'fenomena', 'penularan', 'hewan']","['pakar', 'genetika', 'ipb', 'sorot', 'fenomena', 'tular', 'hewan']"
9,"Vaksinasi COVID-19 selesai dijalani 10,5 juta penduduk Indonesia",antaranews,0,vaksinasi covid selesai dijalani juta penduduk indonesia,"['vaksinasi', 'covid', 'selesai', 'dijalani', 'juta', 'penduduk', 'indonesia']","['', 'selesai', 'dijalani', 'juta', 'penduduk', 'indonesia']","['', 'selesai', 'jalan', 'juta', 'duduk', 'indonesia']"
